tone_group,stem,n,tf,idf,tf_idf,example_word,example_word_freq,doc_freq
hawkish,savez,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,savez,10,10
hawkish,sensex,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,sensex,18,14
hawkish,shakai,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,shakai,11,11
hawkish,shout,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,shout,7,19
hawkish,showa,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,showa,18,14
hawkish,skip,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,skip,30,40
hawkish,slaughter,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,slaughter,21,15
hawkish,spf,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,spf,77,35
hawkish,stabilitat,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,stabilitat,12,11
hawkish,stamped,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,stampede,7,11
hawkish,stunt,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,stunted,14,21
hawkish,suzuki,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,suzuki,22,12
hawkish,synopsi,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,synopsis,11,10
hawkish,takahashi,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,takahashi,46,18
hawkish,tidi,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,tidy,10,17
hawkish,toppl,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,toppling,10,12
hawkish,toss,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,toss,18,21
hawkish,trek,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,trek,11,10
hawkish,trevino,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,trevino,14,14
hawkish,trs,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,trs,23,13
hawkish,tur,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,tur,16,11
hawkish,unbound,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,unbounded,19,19
hawkish,undergird,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,undergird,7,12
hawkish,underr,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,underrate,6,11
hawkish,undistort,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,undistorted,15,13
hawkish,unmitig,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,unmitigated,12,12
hawkish,unmix,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,unmixed,13,12
hawkish,unprovok,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,unprovoked,23,23
hawkish,unstuck,1,2.591250900459688e-6,0.6931471805599453,1.7961182557770522e-6,unstuck,12,11
